,docid,model,nonfactual_spans,evidence,summary,factual_error,error_type,dialogue,origin,linguistic_categories
1,13611832,BART,['want to talk to him'],[],Sam doesn't want to talk to him because he's not talking to her. Cathy thinks he likes her. Sam will talk with him tomorrow.,1,['Intrinsic_Error'],"Sam: I don't think he likes me.
Cathy: Of course he likes you.
Sam: How do u know. He's not talking with me at all ;(
Cathy: He's shy. He's looking at u when u don't see
Sam: Really? U sure?
Cathy: yes, even Kate noticed.
Sam: Hope u r right. I'll talk with him tomorrow then.
Cathy: Go ahead, girl :D",SAMSum,['Logical Error']
4,13611832,GPT-4,[],[],"Sam expresses concern that a guy doesn't like her because he doesn't talk to her. However, Cathy reassures her that the guy is simply shy and does show interest in her when she's unaware. Encouraged by both Cathy and Kate's observations, Sam decides to talk to him the next day.",0,[],"Sam: I don''t think he likes me.
Cathy: Of course he likes you.
Sam: How do u know. He''s not talking with me at all ;(
Cathy: He''s shy. He''s looking at u when u don''t see
Sam: Really? U sure?
Cathy: yes, even Kate noticed.
Sam: Hope u r right. I''ll talk with him tomorrow then.
Cathy: Go ahead, girl :D",SAMSum,[]
5,13611832,Alpaca-13B,[],[],Sam is unsure if a guy she likes likes her back. Cathy assures her that he does and that he is just shy. Sam is hopeful and plans to talk to him the next day.,0,[],"Sam: I don''t think he likes me.
Cathy: Of course he likes you.
Sam: How do u know. He''s not talking with me at all ;(
Cathy: He''s shy. He''s looking at u when u don''t see
Sam: Really? U sure?
Cathy: yes, even Kate noticed.
Sam: Hope u r right. I''ll talk with him tomorrow then.
Cathy: Go ahead, girl :D",SAMSum,[]
7,test_21,BART,['#Person3#'],[],"##Person1# interviews #Person2#. #Person3# has a doctor's license, a driving license, special training in office skills, and is experienced in IBM-PC.",1,['Intrinsic_Error'],"#Person1#: Do you have any special skills?
#Person2#: I can write computer programs, I have a good command of secretarial skills.
#Person1#: What qualifications have you got?
#Person2#: I have a doctor license and a driving license.
#Person1#: Do you get special training in office skills?
#Person2#: I passed both the Cambridge Examinations, First Certificate and the Certificate of Proficiency in English. And studied for a year in London at the Lucas Secretarial College, ending with speeds of 120 words per minute in English shorthand and 50 words per minute in typing. I was also trained in office procedure.
#Person1#: Please tell me about work you have done, which qualifies you for this job.
#Person2#: I'Ve received some special training in typing, shorthand and operating a fax machine, etc. . I'm experienced in IBM-PC. I can operate familiarly a word-processor, a fax machine, a photo and other office equipment.",DialogSum,['Referential Error']
10,test_21,GPT-4,[],[],"Person 2 has versatile skills and qualifications. They have the ability to write computer programs, possess secretarial skills, and hold both a doctor license and a driving license. They have taken rigorous training in office skills at the Lucas Secretarial College in London, which included typing, shorthand, office procedures, and operation of various office equipment like a fax machine and a photocopier. They have also passed Cambridge Examinations and have experience operating an IBM PC and a standard word processor. These skills and experiences make them highly qualified for their job.",0,[],"#Person1#: Do you have any special skills?
#Person2#: I can write computer programs, I have a good command of secretarial skills.
#Person1#: What qualifications have you got?
#Person2#: I have a doctor license and a driving license.
#Person1#: Do you get special training in office skills?
#Person2#: I passed both the Cambridge Examinations, First Certificate and the Certificate of Proficiency in English. And studied for a year in London at the Lucas Secretarial College, ending with speeds of 120 words per minute in English shorthand and 50 words per minute in typing. I was also trained in office procedure.
#Person1#: Please tell me about work you have done, which qualifies you for this job.
#Person2#: I''Ve received some special training in typing, shorthand and operating a fax machine, etc. . I''m experienced in IBM-PC. I can operate familiarly a word-processor, a fax machine, a photo and other office equipment.",DialogSum,[]
11,test_21,Alpaca-13B,[],[],"Person2 is applying for a job and is being interviewed by Person1. Person2 states that they have a doctor license and a driving license, as well as a Cambridge Examination, First Certificate and a Certificate of Proficiency in English. They also studied for a year in London at the Lucas Secretarial College, and have qualifications in typing, shorthand and operating a fax machine. They are experienced in IBM-PC and can operate a word-processor, a fax machine, and other office equipment.",0,[],"#Person1#: Do you have any special skills?
#Person2#: I can write computer programs, I have a good command of secretarial skills.
#Person1#: What qualifications have you got?
#Person2#: I have a doctor license and a driving license.
#Person1#: Do you get special training in office skills?
#Person2#: I passed both the Cambridge Examinations, First Certificate and the Certificate of Proficiency in English. And studied for a year in London at the Lucas Secretarial College, ending with speeds of 120 words per minute in English shorthand and 50 words per minute in typing. I was also trained in office procedure.
#Person1#: Please tell me about work you have done, which qualifies you for this job.
#Person2#: I''Ve received some special training in typing, shorthand and operating a fax machine, etc. . I''m experienced in IBM-PC. I can operate familiarly a word-processor, a fax machine, a photo and other office equipment.",DialogSum,[]
14,13819478,BART,"[None, None, None]",[],Rita will ask them to print more copies for the next session of Stephen's seminar.,1,"['Intrinsic_Error', 'Intrinsic_Error', 'Intrinsic_Error']","Mariana: Hi, just a quick question. Do you know if the readings for the next session of Stephens seminar are in the print shop?
Rita: No idea, sorry
Chae-yeong: The only thing I know is that they were not yet there on Monday
Arthur: Yer, Ive made the mistake of going on Monday as well and I can confirm the texts were not there and the staff was as rude as always
Mariana: Sounds familiar
Rita: Ill go tomorrow morning and let you know if the texts are available
Rita: I cant buy the copies for you because they never have enough at hand but Ill just ask them to print more for later
Chae-yeong: No worries
Arthur: Yeah, just let us know if theyre ready, thats a huge favour already
Rita: Cool. Will do! xx",FacEval,['Logical Error']
16,13819478,GPT-4,[],[],Mariana asked the group if the readings for the next session of Stephen's seminar were available at the print shop. Both Chae-yeong and Arthur were there on Monday and confirmed the texts were not there. Rita offered to check the next morning and notify the group if they were available but mentioned she wouldn't be able to buy copies for them due to limited stock. Everyone appreciates Rita's willingness to check.,0,[],"Mariana: Hi, just a quick question. Do you know if the readings for the next session of Stephens seminar are in the print shop?
Rita: No idea, sorry
Chae-yeong: The only thing I know is that they were not yet there on Monday
Arthur: Yer, Ive made the mistake of going on Monday as well and I can confirm the texts were not there and the staff was as rude as always
Mariana: Sounds familiar
Rita: Ill go tomorrow morning and let you know if the texts are available
Rita: I cant buy the copies for you because they never have enough at hand but Ill just ask them to print more for later
Chae-yeong: No worries
Arthur: Yeah, just let us know if theyre ready, thats a huge favour already
Rita: Cool. Will do! xx",FacEval,[]
17,13819478,Alpaca-13B,[],[],The students were discussing whether the readings for the next session of Stephen's seminar were available in the print shop. Rita offered to check the next day and let the others know.,0,[],"Mariana: Hi, just a quick question. Do you know if the readings for the next session of Stephens seminar are in the print shop?
Rita: No idea, sorry
Chae-yeong: The only thing I know is that they were not yet there on Monday
Arthur: Yer, Ive made the mistake of going on Monday as well and I can confirm the texts were not there and the staff was as rude as always
Mariana: Sounds familiar
Rita: Ill go tomorrow morning and let you know if the texts are available
Rita: I cant buy the copies for you because they never have enough at hand but Ill just ask them to print more for later
Chae-yeong: No worries
Arthur: Yeah, just let us know if theyre ready, thats a huge favour already
Rita: Cool. Will do! xx",FacEval,[]
19,test_74,BART,[],[],##Person2# is figuring out a shopping budget. #Person1# thinks it's a good idea.,0,[],"#Person1#: What are you working on?
#Person2#: I'm figuring out my budget.
#Person1#: What budget?
#Person2#: I'm making a shopping budget, so that I don't spend too much money.
#Person1#: How much money can you spend?
#Person2#: I can only spend $ 300 a month.
#Person1#: Why only $ 300?
#Person2#: I need to save the rest.
#Person1#: For what?
#Person2#: I need to pay my bills.
#Person1#: Your budget is a good idea.
#Person2#: I know. It's going to save me a lot of money, I hope.",DialogSum,[]
